id_contrato;id_inadimplencia;fg_pg_em_dia;fg_atraso_30dias;fg_atraso_60dias;fg_atraso_90dias;id_cliente;cidade_cliente;estado_cliente;uf_cliente;ocupacao;faixa_idade;id_veiculo;velocidade_max;cilindradas;qtd_portas;qtd_assentos;modelo_veiculo;marca_veiculo;tipo_veiculo;valor_veiculo;vetor_caracteristica;id_vendedor_loja;nm_vendedor;nm_loja;cidade_loja;estado_loja;uf_loja;regiao_loja;id_dados_financiamento;prazo;faixa_score;id_tempo;mes;ano;qtd_veiculos;vlr_financiado;vlr_entrada;vlr_juros;vlr_operacao
409;4;1;0;0;0;459;Rio de Janeiro;Rio de Janeiro;RJ;Militar;03. 31 a 35 anos;11;242;2;5;4;Audi A5 cupê;Audi;cupê;329990;{242, 2.0, 5, 4, 6};35;Ana Pereira;Robmar Automóveis;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;2;24;01_EXCELENTE;8;Março;2021;1;296991;32999;8909.73;305900.73
410;4;1;0;0;0;324;São Paulo;São Paulo;SP;Profissional Liberal;04. 36 a 40 anos;76;192;1.6;2;2;MINI ROADSTER;Mini;conversível;259990;{192, 1.6, 2, 2, 12};7;Lívia Sales;Armando Veículos;São Paulo;São Paulo;SP;Sudeste;12;36;03_RUIM;4;Novembro;2020;1;103996;155994;7279.72;111275.72
411;4;1;0;0;0;578;Rio de Janeiro;Rio de Janeiro;RJ;Assalariado;02. 26 a 30 anos;40;250;5.5;5;5;Benz M Class AMG;Mercedes-Benz;SUV;744900;{250, 5.5, 5, 5, 2};37;Bianca Nascimento;Eurobarra;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;9;48;02_BOM;9;Abril;2021;1;148980;595920;7449;156429
412;4;1;0;0;0;904;São José dos Pinhais;Paraná;PR;Assalariado;06. 46 a 50 anos;103;190;2;5;5;Outlander;Mitsubishi;SUV;208990;{190, 2.0, 5, 5, 2};61;Luiz Henrique Rodrigues;Barigui Seminovos;Curitiba;Paraná;PR;Sul;1;12;01_EXCELENTE;4;Novembro;2020;1;167192;41798;5015.76;172207.76
413;4;1;0;0;0;129;Guarulhos;São Paulo;SP;Autonômo;03. 31 a 35 anos;17;225;2;4;5;BMW 5 Series Sedan;BMW;sedan;425950;{225, 2.0, 4, 5, 3};2;Pedro Henrique Ferreira;Aracai;Guarulhos;São Paulo;SP;Sudeste;7;24;02_BOM;7;Fevereiro;2021;1;340760;85190;17038;357798
414;4;1;0;0;0;128;Jandira;São Paulo;SP;Autonômo;04. 36 a 40 anos;87;186;1.6;4;5;Cerato;Kia;sedan;129990;{186, 1.6, 4, 5, 3};12;Nathan da Cunha;AutoStar;São Paulo;São Paulo;SP;Sudeste;8;36;02_BOM;8;Março;2021;1;103992;25998;5199.6;109191.6
415;4;1;0;0;0;120;São Caetano do Sul;São Paulo;SP;Assalariado;09. 61 a 65 anos;98;230;2;4;5;Volvo S60;Volvo;sedan;381950;{230, 2.0, 4, 5, 3};3;Isabella Ribeiro;Aracai;Guarulhos;São Paulo;SP;Sudeste;5;60;01_EXCELENTE;12;Julho;2021;1;229170;152780;6875.1;236045.1
416;4;1;0;0;0;626;Botafogo;Rio de Janeiro;RJ;Empresário;02. 26 a 30 anos;37;250;5.5;4;4;Benz CLS Class AMG;Mercedes-Benz;sedan;804900;{250, 5.5, 4, 4, 3};45;Maria Cecília Silva;Simcauto;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;1;12;01_EXCELENTE;11;Junho;2021;1;643920;160980;19317.6;663237.6
417;4;1;0;0;0;693;Recreio dos Bandeirantes;Rio de Janeiro;RJ;Aposentado;10. Acima de 65 anos;83;195;3;5;5;Discovery;Land Rover;SUV;586450;{195, 3.0, 5, 5, 2};42;Mirella Campos;Jedean Multimarcas;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;4;48;01_EXCELENTE;11;Junho;2021;1;586450;0;17593.5;604043.5
418;4;1;0;0;0;622;Botafogo;Rio de Janeiro;RJ;Assalariado;03. 31 a 35 anos;57;182;1.4;5;5;Polo hatch;Volkswagen;hatch;67670;{182, 1.4, 5, 5, 4};34;Marcela Peixoto;Robmar Automóveis;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;4;48;01_EXCELENTE;2;Setembro;2020;1;33835;33835;1015.05;34850.05
419;4;1;0;0;0;391;São Paulo;São Paulo;SP;Autonômo;03. 31 a 35 anos;88;171;2;5;5;Sportage;Kia;SUV;195990;{171, 2.0, 5, 5, 2};2;Pedro Henrique Ferreira;Aracai;Guarulhos;São Paulo;SP;Sudeste;8;36;02_BOM;11;Junho;2021;1;97995;97995;4899.75;102894.75
420;4;1;0;0;0;852;Curitiba;Paraná;PR;Aposentado;10. Acima de 65 anos;102;190;2;5;5;ASX;Mitsubishi;SUV;125990;{190, 2.0, 5, 5, 2};64;Yago Barbosa;Barigui Seminovos;Curitiba;Paraná;PR;Sul;15;36;04_PESSIMO;11;Junho;2021;1;25198;100792;2519.8;27717.8
421;4;1;0;0;0;90;Itapecerica da Serra;São Paulo;SP;Assalariado;03. 31 a 35 anos;75;198;1.6;3;2;MINI Cooper ;Mini;esportivo;151599;{198, 1.6, 3, 2, 10};9;Ana Clara Rezende;AutoStar;São Paulo;São Paulo;SP;Sudeste;9;48;02_BOM;2;Setembro;2020;1;90959.4;60639.6;4547.97;95507.37
422;4;1;0;0;0;878;Curitiba;Paraná;PR;Empresário;02. 26 a 30 anos;16;200;2;5;5;BMW X1;BMW;SUV;269950;{200, 2.0, 5, 5, 2};62;Rodrigo da Paz;Barigui Seminovos;Curitiba;Paraná;PR;Sul;13;12;04_PESSIMO;8;Março;2021;1;107980;161970;10798;118778
423;4;1;0;0;0;523;Rio de Janeiro;Rio de Janeiro;RJ;Funcionário Público;02. 26 a 30 anos;5;234;3;5;5;Audi Q5;Audi;SUV;352990;{234, 3.0, 5, 5, 2};41;Cecília da Cruz;Jedean Multimarcas;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;1;12;01_EXCELENTE;10;Maio;2021;1;105897;247093;3176.91;109073.91
424;4;1;0;0;0;493;Rio de Janeiro;Rio de Janeiro;RJ;Assalariado;06. 46 a 50 anos;82;190;2;5;5;ix35;Hyundai;SUV;118200;{190, 2.0, 5, 5, 2};39;Clarice Barbosa;Eurobarra;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;15;36;04_PESSIMO;12;Julho;2021;1;94560;23640;9456;104016
425;4;1;0;0;0;819;Curitiba;Paraná;PR;Militar;01. 18 a 24 anos;45;240;2;2;4;Benz E Class;Mercedes-Benz;sedan;557900;{240, 2.0, 2, 4, 3};58;Maria Cecília Martins;Metrosul;Curitiba;Paraná;PR;Sul;2;24;01_EXCELENTE;2;Setembro;2020;1;502110;55790;15063.3;517173.3
426;4;1;0;0;0;860;Curitiba;Paraná;PR;Assalariado;02. 26 a 30 anos;24;213;2;2;4;BMW 1 Series couple;BMW;sedan;246950;{213, 2.0, 2, 4, 3};64;Yago Barbosa;Barigui Seminovos;Curitiba;Paraná;PR;Sul;2;24;01_EXCELENTE;2;Setembro;2020;1;197560;49390;5926.8;203486.8
427;4;1;0;0;0;435;Rio de Janeiro;Rio de Janeiro;RJ;Funcionário Público;04. 36 a 40 anos;92;184;2;5;5;C4 Aircross;Citroen;SUV;61590;{184, 2.0, 5, 5, 2};38;Clara Cavalcanti;Eurobarra;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;6;12;02_BOM;1;Agosto;2020;1;30795;30795;1539.75;32334.75
428;4;1;0;0;0;821;Curitiba;Paraná;PR;Empresário;04. 36 a 40 anos;93;202;1.6;3;5;Citroen C4;Citroen;hatch;94990;{202, 1.6, 3, 5, 4};61;Luiz Henrique Rodrigues;Barigui Seminovos;Curitiba;Paraná;PR;Sul;7;24;02_BOM;1;Agosto;2020;1;37996;56994;1899.8;39895.8
429;4;1;0;0;0;476;Rio de Janeiro;Rio de Janeiro;RJ;Profissional Liberal;06. 46 a 50 anos;51;223;2;5;5;Macan;Porsche;SUV;415000;{223, 2.0, 5, 5, 2};43;Fernando da Conceição;Jedean Multimarcas;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;8;36;02_BOM;2;Setembro;2020;1;207500;207500;10375;217875
430;4;1;0;0;0;816;Curitiba;Paraná;PR;Empresário;09. 61 a 65 anos;79;223;1.6;5;5;MINI JCW COUNTRYMAN;Mini;SUV;329990;{223, 1.6, 5, 5, 2};58;Maria Cecília Martins;Metrosul;Curitiba;Paraná;PR;Sul;6;12;02_BOM;13;Agosto;2021;1;98997;230993;4949.85;103946.85
431;4;1;0;0;0;721;Niterói;Rio de Janeiro;RJ;Assalariado;06. 46 a 50 anos;70;260;3;2;2;Jaguar F-TYPE;Jaguar;esportivo;404166;{260, 3.0, 2, 2, 10};43;Fernando da Conceição;Jedean Multimarcas;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;2;24;01_EXCELENTE;2;Setembro;2020;1;80833.2;323332.8;2424.996;83258.196
432;4;1;0;0;0;906;São José dos Pinhais;Paraná;PR;Funcionário Público;03. 31 a 35 anos;34;232;2;2;2;BMW Z4;BMW;conversível;420950;{232, 2.0, 2, 2, 9};61;Luiz Henrique Rodrigues;Barigui Seminovos;Curitiba;Paraná;PR;Sul;9;48;02_BOM;6;Janeiro;2021;1;84190;336760;4209.5;88399.5
433;4;1;0;0;0;241;São Paulo;São Paulo;SP;Militar;09. 61 a 65 anos;74;168;1.6;5;5;MINI COUNTRYMAN;Mini;SUV;149990;{168, 1.6, 5, 5, 2};21;Emanuelly da Luz;Viamar;São Paulo;São Paulo;SP;Sudeste;8;36;02_BOM;3;Outubro;2020;1;44997;104993;2249.85;47246.85
434;4;1;0;0;0;409;Rio de Janeiro;Rio de Janeiro;RJ;Assalariado;01. 18 a 24 anos;63;181;1.4;4;5;Jetta;Volkswagen;sedan;137720;{181, 1.4, 4, 5, 3};45;Maria Cecília Silva;Simcauto;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;9;48;02_BOM;8;Março;2021;1;27544;110176;1377.2;28921.2
435;4;1;0;0;0;153;Jandira;São Paulo;SP;Profissional Liberal;05. 41 a 45 anos;96;190;2;4;5;Camry;Toyota;sedan;318690;{190, 2.0, 4, 5, 3};4;Marcela Rocha;Aracai;Guarulhos;São Paulo;SP;Sudeste;8;36;02_BOM;1;Agosto;2020;1;286821;31869;14341.05;301162.05
436;4;1;0;0;0;855;Curitiba;Paraná;PR;Assalariado;04. 36 a 40 anos;5;234;3;5;5;Audi Q5;Audi;SUV;352990;{234, 3.0, 5, 5, 2};63;Vitor Gabriel Ribeiro;Barigui Seminovos;Curitiba;Paraná;PR;Sul;8;36;02_BOM;3;Outubro;2020;1;282392;70598;14119.6;296511.6
437;4;1;0;0;0;865;Curitiba;Paraná;PR;Aposentado;10. Acima de 65 anos;12;235;2.5;5;5;Audi A7;Audi;cupê;492033;{235, 2.5, 5, 5, 6};59;Pedro Moraes;Metrosul;Curitiba;Paraná;PR;Sul;8;36;02_BOM;5;Dezembro;2020;1;147609.9;344423.1;7380.495;154990.395
438;4;1;0;0;0;6;Cotia;São Paulo;SP;Aposentado;10. Acima de 65 anos;21;250;4.4;4;5;BMW M5;BMW;sedan;1006950;{250, 4.4, 4, 5, 3};2;Pedro Henrique Ferreira;Aracai;Guarulhos;São Paulo;SP;Sudeste;8;36;02_BOM;2;Setembro;2020;1;906255;100695;45312.75;951567.75
439;4;1;0;0;0;350;São Paulo;São Paulo;SP;Profissional Liberal;03. 31 a 35 anos;52;262;3;5;4;Panamera;Porsche;esportivo;649000;{262, 3.0, 5, 4, 10};30;Gabriel Martins;Caraigá;São Paulo;São Paulo;SP;Sudeste;1;12;01_EXCELENTE;4;Novembro;2020;1;129800;519200;3894;133694
440;4;1;0;0;0;399;São Paulo;São Paulo;SP;Empresário;07. 51 a 55 anos;53;283;3.4;2;4;Porsche 911;Porsche;esportivo;709000;{283, 3.4, 2, 4, 10};24;Breno Sales;Viamar;São Paulo;São Paulo;SP;Sudeste;4;48;01_EXCELENTE;9;Abril;2021;1;212700;496300;6381;219081
441;4;1;0;0;0;124;Jandira;São Paulo;SP;Profissional Liberal;06. 46 a 50 anos;22;250;4.4;5;5;BMW X5 M;BMW;SUV;597950;{250, 4.4, 5, 5, 2};21;Emanuelly da Luz;Viamar;São Paulo;São Paulo;SP;Sudeste;3;36;01_EXCELENTE;12;Julho;2021;1;298975;298975;8969.25;307944.25
442;4;1;0;0;0;276;São Paulo;São Paulo;SP;Assalariado;02. 26 a 30 anos;95;180;1.8;5;5;Prius;Toyota;hatch;188090;{180, 1.8, 5, 5, 4};6;Bianca Fernandes;Armando Veículos;São Paulo;São Paulo;SP;Sudeste;9;48;02_BOM;9;Abril;2021;1;75236;112854;3761.8;78997.8
443;4;1;0;0;0;747;Niterói;Rio de Janeiro;RJ;Assalariado;06. 46 a 50 anos;29;250;3;4;5;BMW 7 Series hybrid;BMW;sedan;656950;{250, 3.0, 4, 5, 3};38;Clara Cavalcanti;Eurobarra;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;7;24;02_BOM;2;Setembro;2020;1;525560;131390;26278;551838
444;4;1;0;0;0;380;São Paulo;São Paulo;SP;Militar;01. 18 a 24 anos;10;248;2;2;4;Audi A5 sedan;Audi;sedan;307990;{248, 2.0, 2, 4, 3};31;Samuel Moreira;Caraigá;São Paulo;São Paulo;SP;Sudeste;5;60;01_EXCELENTE;5;Dezembro;2020;1;184794;123196;5543.82;190337.82
445;4;1;0;0;0;441;Rio de Janeiro;Rio de Janeiro;RJ;Funcionário Público;02. 26 a 30 anos;75;198;1.6;3;2;MINI Cooper ;Mini;esportivo;151599;{198, 1.6, 3, 2, 10};37;Bianca Nascimento;Eurobarra;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;12;36;03_RUIM;9;Abril;2021;1;90959.4;60639.6;6367.158;97326.558
446;4;1;0;0;0;293;São Paulo;São Paulo;SP;Funcionário Público;07. 51 a 55 anos;83;195;3;5;5;Discovery;Land Rover;SUV;586450;{195, 3.0, 5, 5, 2};25;Sarah Gonçalves;Mercadocar;São Paulo;São Paulo;SP;Sudeste;6;12;02_BOM;4;Novembro;2020;1;351870;234580;17593.5;369463.5
447;4;1;0;0;0;287;São Paulo;São Paulo;SP;Profissional Liberal;09. 61 a 65 anos;41;250;2;4;5;Benz CLA Class AMG;Mercedes-Benz;sedan;431900;{250, 2.0, 4, 5, 3};13;Renan Martins;Audi Center Alphaville;Barueri;São Paulo;SP;Sudeste;3;36;01_EXCELENTE;3;Outubro;2020;1;172760;259140;5182.8;177942.8
448;4;1;0;0;0;53;Diadema;São Paulo;SP;Empresário;04. 36 a 40 anos;88;171;2;5;5;Sportage;Kia;SUV;195990;{171, 2.0, 5, 5, 2};16;Alana Fernandes;Audi Center Alphaville;Barueri;São Paulo;SP;Sudeste;7;24;02_BOM;1;Agosto;2020;1;39198;156792;1959.9;41157.9
449;4;1;0;0;0;133;Mairiporã;São Paulo;SP;Assalariado;07. 51 a 55 anos;39;210;5.5;5;5;Benz G Class AMG;Mercedes-Benz;SUV;1685900;{210, 5.5, 5, 5, 2};18;Diego Monteiro;Auto Shopping Cristal;São Paulo;São Paulo;SP;Sudeste;4;48;01_EXCELENTE;12;Julho;2021;1;674360;1011540;20230.8;694590.8
450;4;1;0;0;0;378;São Paulo;São Paulo;SP;Profissional Liberal;06. 46 a 50 anos;19;250;3;4;5;BMW M3;BMW;sedan;757950;{250, 3.0, 4, 5, 3};26;João Miguel Correia;Mercadocar;São Paulo;São Paulo;SP;Sudeste;7;24;02_BOM;6;Janeiro;2021;1;682155;75795;34107.75;716262.75
451;4;1;0;0;0;35;Itapevi;São Paulo;SP;Empresário;02. 26 a 30 anos;39;210;5.5;5;5;Benz G Class AMG;Mercedes-Benz;SUV;1685900;{210, 5.5, 5, 5, 2};4;Marcela Rocha;Aracai;Guarulhos;São Paulo;SP;Sudeste;1;12;01_EXCELENTE;10;Maio;2021;1;1011540;674360;30346.2;1041886.2
452;4;1;0;0;0;542;Rio de Janeiro;Rio de Janeiro;RJ;Empresário;07. 51 a 55 anos;30;210;2;5;5;BMW X3;BMW;SUV;390950;{210, 2.0, 5, 5, 2};43;Fernando da Conceição;Jedean Multimarcas;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;9;48;02_BOM;13;Agosto;2021;1;351855;39095;17592.75;369447.75
453;4;1;0;0;0;113;Cotia;São Paulo;SP;Assalariado;03. 31 a 35 anos;84;210;3;5;5;Range Rover;Land Rover;SUV;968950;{210, 3.0, 5, 5, 2};8;Olivia da Rosa;Armando Veículos;São Paulo;São Paulo;SP;Sudeste;5;60;01_EXCELENTE;2;Setembro;2020;1;290685;678265;8720.55;299405.55
454;4;1;0;0;0;543;Rio de Janeiro;Rio de Janeiro;RJ;Autonômo;03. 31 a 35 anos;5;234;3;5;5;Audi Q5;Audi;SUV;352990;{234, 3.0, 5, 5, 2};45;Maria Cecília Silva;Simcauto;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;6;12;02_BOM;5;Dezembro;2020;1;282392;70598;14119.6;296511.6
455;4;1;0;0;0;829;Curitiba;Paraná;PR;Autonômo;06. 46 a 50 anos;106;250;3.6;2;4;Camaro;Chevrolet;esportivo;397360;{250, 3.6, 2, 4, 10};64;Yago Barbosa;Barigui Seminovos;Curitiba;Paraná;PR;Sul;2;24;01_EXCELENTE;3;Outubro;2020;1;158944;238416;4768.32;163712.32
456;4;1;0;0;0;267;São Paulo;São Paulo;SP;Autonômo;03. 31 a 35 anos;87;186;1.6;4;5;Cerato;Kia;sedan;129990;{186, 1.6, 4, 5, 3};26;João Miguel Correia;Mercadocar;São Paulo;São Paulo;SP;Sudeste;15;36;04_PESSIMO;9;Abril;2021;1;25998;103992;2599.8;28597.8
457;4;1;0;0;0;470;Rio de Janeiro;Rio de Janeiro;RJ;Funcionário Público;03. 31 a 35 anos;105;180;1.6;5;5;Cruze hatch;Chevrolet;cupê;145820;{180, 1.6, 5, 5, 6};34;Marcela Peixoto;Robmar Automóveis;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;1;12;01_EXCELENTE;5;Dezembro;2020;1;87492;58328;2624.76;90116.76
458;4;1;0;0;0;762;Niterói;Rio de Janeiro;RJ;Empresário;01. 18 a 24 anos;90;190;2.2;5;5;Sorento;Kia;SUV;199990;{190, 2.2, 5, 5, 2};44;João Vitor da Mota;Jedean Multimarcas;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;4;48;01_EXCELENTE;5;Dezembro;2020;1;79996;119994;2399.88;82395.88
459;4;1;0;0;0;213;São Paulo;São Paulo;SP;Empresário;05. 41 a 45 anos;49;202;1.6;5;5;Peugeot 3008;Peugeot;SUV;229990;{202, 1.6, 5, 5, 2};7;Lívia Sales;Armando Veículos;São Paulo;São Paulo;SP;Sudeste;1;12;01_EXCELENTE;7;Fevereiro;2021;1;206991;22999;6209.73;213200.73
460;4;1;0;0;0;551;Rio de Janeiro;Rio de Janeiro;RJ;Aposentado;10. Acima de 65 anos;26;229;2;5;5;BMW 3 Series cupê;BMW;cupê;253950;{229, 2.0, 5, 5, 6};41;Cecília da Cruz;Jedean Multimarcas;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;2;24;01_EXCELENTE;1;Agosto;2020;1;253950;0;7618.5;261568.5
461;4;1;0;0;0;143;Osasco;São Paulo;SP;Funcionário Público;04. 36 a 40 anos;58;200;1.4;4;5;Passat;Volkswagen;sedan;164620;{200, 1.4, 4, 5, 3};19;Luna da Mota;Auto Shopping Cristal;São Paulo;São Paulo;SP;Sudeste;4;48;01_EXCELENTE;2;Setembro;2020;1;164620;0;4938.6;169558.6
462;4;1;0;0;0;832;Curitiba;Paraná;PR;Funcionário Público;06. 46 a 50 anos;24;213;2;2;4;BMW 1 Series couple;BMW;sedan;246950;{213, 2.0, 2, 4, 3};63;Vitor Gabriel Ribeiro;Barigui Seminovos;Curitiba;Paraná;PR;Sul;3;36;01_EXCELENTE;2;Setembro;2020;1;49390;197560;1481.7;50871.7
463;4;1;0;0;0;398;São Paulo;São Paulo;SP;Funcionário Público;05. 41 a 45 anos;3;228;2;4;5;Audi A6;Audi;sedan;424990;{228, 2.0, 4, 5, 3};26;João Miguel Correia;Mercadocar;São Paulo;São Paulo;SP;Sudeste;9;48;02_BOM;11;Junho;2021;1;127497;297493;6374.85;133871.85
464;4;1;0;0;0;818;Curitiba;Paraná;PR;Autonômo;01. 18 a 24 anos;47;199;1.8;4;5;Civic;Honda;sedan;112700;{199, 1.8, 4, 5, 3};57;Lucas Gabriel Moraes;Metrosul;Curitiba;Paraná;PR;Sul;12;36;03_RUIM;9;Abril;2021;2;56350;169050;3944.5;60294.5
465;4;1;0;0;0;736;Niterói;Rio de Janeiro;RJ;Aposentado;10. Acima de 65 anos;35;226;1.8;4;5;Benz C Class;Mercedes-Benz;sedan;237900;{226, 1.8, 4, 5, 3};38;Clara Cavalcanti;Eurobarra;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;9;48;02_BOM;4;Novembro;2020;1;47580;190320;2379;49959
466;4;1;0;0;0;217;São Paulo;São Paulo;SP;Assalariado;03. 31 a 35 anos;36;240;2;2;4;Benz E Class;Mercedes-Benz;esportivo;557900;{240, 2.0, 2, 4, 10};1;Gustavo Henrique Fogaça;Aracai;Guarulhos;São Paulo;SP;Sudeste;7;24;02_BOM;9;Abril;2021;1;278950;278950;13947.5;292897.5
467;4;1;0;0;0;264;São Paulo;São Paulo;SP;Funcionário Público;09. 61 a 65 anos;20;250;3;2;4;BMW M4 cupê;BMW;sedan;487010;{250, 3.0, 2, 4, 3};30;Gabriel Martins;Caraigá;São Paulo;São Paulo;SP;Sudeste;9;48;02_BOM;3;Outubro;2020;1;194804;292206;9740.2;204544.2
468;4;1;0;0;0;872;Curitiba;Paraná;PR;Profissional Liberal;04. 36 a 40 anos;61;230;3;5;5;Touareg;Volkswagen;SUV;277327;{230, 3.0, 5, 5, 2};59;Pedro Moraes;Metrosul;Curitiba;Paraná;PR;Sul;7;24;02_BOM;11;Junho;2021;1;110930.8;166396.2;5546.54;116477.34
469;4;1;0;0;0;249;São Paulo;São Paulo;SP;Militar;02. 26 a 30 anos;21;250;4.4;4;5;BMW M5;BMW;sedan;1006950;{250, 4.4, 4, 5, 3};10;Isabelly Moraes;AutoStar;São Paulo;São Paulo;SP;Sudeste;1;12;01_EXCELENTE;1;Agosto;2020;1;302085;704865;9062.55;311147.55
470;4;1;0;0;0;23;Diadema;São Paulo;SP;Aposentado;10. Acima de 65 anos;69;182;1.4;3;4;FIAT 500;Fiat;hatch;239990;{182, 1.4, 3, 4, 4};22;Davi Lucas Moura;Viamar;São Paulo;São Paulo;SP;Sudeste;6;12;02_BOM;1;Agosto;2020;1;167993;71997;8399.65;176392.65
471;4;1;0;0;0;73;Taboão da Serra;São Paulo;SP;Profissional Liberal;01. 18 a 24 anos;94;185;2;5;5;Toyota RAV4;Toyota;SUV;282490;{185, 2.0, 5, 5, 2};32;Beatriz Dias;Caraigá;São Paulo;São Paulo;SP;Sudeste;3;36;01_EXCELENTE;8;Março;2021;1;84747;197743;2542.41;87289.41
472;4;1;0;0;0;367;São Paulo;São Paulo;SP;Assalariado;03. 31 a 35 anos;64;200;5.7;4;5;Ram;Ram;caminhonete;427990;{200, 5.7, 4, 5, 8};30;Gabriel Martins;Caraigá;São Paulo;São Paulo;SP;Sudeste;2;24;01_EXCELENTE;2;Setembro;2020;1;85598;342392;2567.94;88165.94
473;4;1;0;0;0;776;Niterói;Rio de Janeiro;RJ;Assalariado;06. 46 a 50 anos;26;229;2;5;5;BMW 3 Series cupê;BMW;cupê;253950;{229, 2.0, 5, 5, 6};38;Clara Cavalcanti;Eurobarra;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;8;36;02_BOM;8;Março;2021;1;76185;177765;3809.25;79994.25
474;4;1;0;0;0;639;Recreio dos Bandeirantes;Rio de Janeiro;RJ;Funcionário Público;08. 56 a 60 anos;55;242;3;5;5;Cayenne hybrid;Porsche;SUV;537178;{242, 3.0, 5, 5, 2};42;Mirella Campos;Jedean Multimarcas;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;5;60;01_EXCELENTE;9;Abril;2021;1;107435.6;429742.4;3223.068;110658.668
475;4;1;0;0;0;433;Rio de Janeiro;Rio de Janeiro;RJ;Militar;02. 26 a 30 anos;105;180;1.6;5;5;Cruze hatch;Chevrolet;cupê;145820;{180, 1.6, 5, 5, 6};34;Marcela Peixoto;Robmar Automóveis;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;2;24;01_EXCELENTE;9;Abril;2021;2;43746;247894;1312.38;45058.38
476;4;1;0;0;0;728;Niterói;Rio de Janeiro;RJ;Militar;09. 61 a 65 anos;8;250;4;5;4;Audi RS7;Audi;cupê;1046000;{250, 4.0, 5, 4, 6};37;Bianca Nascimento;Eurobarra;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;5;60;01_EXCELENTE;6;Janeiro;2021;1;313800;732200;9414;323214
477;4;1;0;0;0;669;Recreio dos Bandeirantes;Rio de Janeiro;RJ;Empresário;01. 18 a 24 anos;43;202;1.6;5;5;Benz A Class;Mercedes-Benz;hatch;319900;{202, 1.6, 5, 5, 4};44;João Vitor da Mota;Jedean Multimarcas;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;3;36;01_EXCELENTE;9;Abril;2021;1;127960;191940;3838.8;131798.8
478;4;1;0;0;0;232;São Paulo;São Paulo;SP;Autonômo;02. 26 a 30 anos;33;240;3;5;4;BMW X6;BMW;SUV;662950;{240, 3.0, 5, 4, 2};8;Olivia da Rosa;Armando Veículos;São Paulo;São Paulo;SP;Sudeste;4;48;01_EXCELENTE;6;Janeiro;2021;1;331475;331475;9944.25;341419.25
479;4;1;0;0;0;634;Botafogo;Rio de Janeiro;RJ;Empresário;03. 31 a 35 anos;106;250;3.6;2;4;Camaro;Chevrolet;esportivo;397360;{250, 3.6, 2, 4, 10};35;Ana Pereira;Robmar Automóveis;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;5;60;01_EXCELENTE;11;Junho;2021;1;278152;119208;8344.56;286496.56
480;4;1;0;0;0;798;Niterói;Rio de Janeiro;RJ;Assalariado;07. 51 a 55 anos;15;210;1.6;4;5;BMW 3 Series;BMW;sedan;245043;{210, 1.6, 4, 5, 3};40;Lucas Gabriel da Rosa;Eurobarra;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;11;24;03_RUIM;10;Maio;2021;1;49008.6;196034.4;3430.602;52439.202
481;4;1;0;0;0;55;Cotia;São Paulo;SP;Assalariado;01. 18 a 24 anos;42;130;2.1;3;3;Sprinter;Mercedes-Benz;utilitário;178000;{130, 2.1, 3, 3, 5};28;Nicolas Cardoso;Mercadocar;São Paulo;São Paulo;SP;Sudeste;1;12;01_EXCELENTE;10;Maio;2021;2;106800;249200;3204;110004
482;4;1;0;0;0;288;São Paulo;São Paulo;SP;Autonômo;04. 36 a 40 anos;92;184;2;5;5;C4 Aircross;Citroen;SUV;61590;{184, 2.0, 5, 5, 2};8;Olivia da Rosa;Armando Veículos;São Paulo;São Paulo;SP;Sudeste;3;36;01_EXCELENTE;12;Julho;2021;1;49272;12318;1478.16;50750.16
483;4;1;0;0;0;846;Curitiba;Paraná;PR;Funcionário Público;01. 18 a 24 anos;48;182;2;5;5;Honda CR-V;Honda;SUV;274700;{182, 2.0, 5, 5, 2};57;Lucas Gabriel Moraes;Metrosul;Curitiba;Paraná;PR;Sul;3;36;01_EXCELENTE;5;Dezembro;2020;1;54940;219760;1648.2;56588.2
